ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
218;20160521;0.0.0.1-1;Desarrollo de Aplicativos;Segundo Trimestre 2016;47,75
169;20160814;0.0.0.1-1-1.1;Credito Fiscal;Tercer Trimestre 2016;161,00
199;20160217;0.0.0.1-1-2;Concientizacion Laboral;Primer Trimestre 2016;54,00
205;20160519;0.0.0.1-2;Fiscalizacion Santa Cruz;Segundo Trimestre 2016;150,00
232;20160903;0.0.0.1-2;Credito Fiscal;Tercer Trimestre 2016;378,00
231;20160905;0.0.0.1-2;Desarrollo de Procesos;Tercer Trimestre 2016;222,00
222;20160524;0.0.0.1-2-1;Desarrollo de Procesos;Segundo Trimestre 2016;139,86
221;20160525;0.0.0.1-2-1;Desarrollo de Aplicativos;Segundo Trimestre 2016;82,14
227;20160527;0.0.0.1-2-1;Fiscalizacion Santa Cruz;Segundo Trimestre 2016;166,50
230;20160902;0.0.0.1-2-1;Capacitacion Continua;Tercer Trimestre 2016;174,83
229;20160904;0.0.0.1-2-1;Capacitacion Continua;Tercer Trimestre 2016;102,68
197;20160215;0.0.0.1-3-1;Entrenamiento de Trabajadores;Primer Trimestre 2016;30,00
