ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
268;20160728;0.0.0.1-2;Desarrollo de Aplicativos;Tercer Trimestre 2016;111,00
270;20160728;0.0.0.1-2;Fiscalizacion Santiago del Estero;Tercer Trimestre 2016;189,00
275;20160226;0.0.0.1-2-1;Fiscalizacion Santiago del Estero;Primer Trimestre 2016;138,75
280;20160301;0.0.0.1-2-1;Desarrollo de Procesos;Primer Trimestre 2016;127,26
278;20160302;0.0.0.1-2-1;Laboratorios de Emprendimiento;Primer Trimestre 2016;74,74
269;20160727;0.0.0.1-2-1;Credito Fiscal;Tercer Trimestre 2016;174,83
267;20160728;0.0.0.1-2-1;Desarrollo de Procesos;Tercer Trimestre 2016;102,68
272;20160224;0.0.0.1-3;Desarrollo de Aplicativos;Primer Trimestre 2016;50,00
281;20160526;0.0.0.1-3;Desarrollo de Aplicativos;Segundo Trimestre 2016;50,00
263;20160308;0.0.0.1-3-2;Agrarios Migrantes;Primer Trimestre 2016;100,00
202;20160220;0.0.0.1-3-2.1;Agrarios Migrantes;Primer Trimestre 2016;100,00
265;20160524;0.0.0.1-3-2.1;Laboratorios de Emprendimiento;Segundo Trimestre 2016;100,00
