ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
52;20160326;0.0.0.1-1-1.2;Desarrollo de Procesos;Segundo Trimestre 2016;58,5
53;20160408;0.0.0.1-2-1;Capacitacion Continua;Segundo Trimestre 2016;82,14
54;20160327;0.0.0.1;Agrarios Migrantes;Segundo Trimestre 2016;88
55;20160409;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;101,75
56;20160328;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;120
57;20160402;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;120
58;20160403;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;120
59;20160404;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;120
60;20160405;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;120
61;20160406;0.0.0.1-2-1;Capacitacion Continua;Segundo Trimestre 2016;139,86
62;20160407;0.0.0.1-2-1.1;Fiscalizacion CABA;Segundo Trimestre 2016;173,25
