ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
233;20160229;0.0.0.1;Laboratorios de Emprendimiento;Primer Trimestre 2016;77
234;20160304;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Primer Trimestre 2016;111
235;20160305;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Primer Trimestre 2016;111
236;20160301;0.0.0.1-1-1.1;Capacitacion Continua;Primer Trimestre 2016;121
237;20160302;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Primer Trimestre 2016;189
238;20160303;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Primer Trimestre 2016;189
239;20160528;0.0.0.1;Capacitacion Continua;Segundo Trimestre 2016;55,5
240;20160606;0.0.0.1-2-1.2;Desarrollo de Procesos;Segundo Trimestre 2016;92,5
241;20160607;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;97,125
242;20160608;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;97,125
243;20160609;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;97,125
244;20160529;0.0.0.1;Agrarios Migrantes;Segundo Trimestre 2016;99
245;20160522;0.0.0.1-2;Desarrollo de Aplicativos;Segundo Trimestre 2016;111
246;20160530;0.0.0.1-2;Desarrollo de Procesos;Segundo Trimestre 2016;150
247;20160601;0.0.0.1-2-1.2;Desarrollo de Procesos;Segundo Trimestre 2016;157,5
248;20160602;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;165,375
249;20160603;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;165,375
250;20160604;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Segundo Trimestre 2016;165,375
251;20160531;0.0.0.1-2-1;Fiscalizacion Santa Fe;Segundo Trimestre 2016;166,5
252;20160605;0.0.0.1-2;Desarrollo de Aplicativos;Segundo Trimestre 2016;189
253;20160906;0.0.0.1-3-1;Formacion Continua;Tercer Trimestre 2016;30
254;20160907;0.0.0.1-1-1;Capacitacion Continua;Tercer Trimestre 2016;50,6
255;20160908;0.0.0.1;Capacitacion Continua;Tercer Trimestre 2016;55,5
256;20160909;0.0.0.1-3;Agrarios Migrantes;Tercer Trimestre 2016;60
257;20160722;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Tercer Trimestre 2016;125
258;20160723;0.0.0.1-2-1.2;Desarrollo de Procesos;Tercer Trimestre 2016;143,75
259;20160724;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Tercer Trimestre 2016;143,75
260;20160725;0.0.0.1-2-1.2;Fiscalizacion Santa Fe;Tercer Trimestre 2016;162,5
