ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
27;20160610;0.0.0.1-1-2;Desarrollo de Aplicativos;Tercer Trimestre 2016;76
28;20160611;0.0.0.1-1-1.2;Desarrollo de Procesos;Tercer Trimestre 2016;86,25
29;20160610;0.0.0.1;Credito Fiscal;Tercer Trimestre 2016;88
30;20160611;0.0.0.1;Credito Fiscal;Tercer Trimestre 2016;99
31;20160610;0.0.0.1-3-2.1;Credito Fiscal;Tercer Trimestre 2016;100
32;20160611;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;111
33;20160610;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;111
34;20160611;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;111
35;20160610;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;111
36;20160611;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;111
37;20160615;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;189
38;20160616;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;189
39;20160617;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;189
40;20160618;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;189
41;20160619;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Tercer Trimestre 2016;189
