ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
42;20151220;0.0.0.1-1-1;Desarrollo de Procesos;Primer Trimestre 2016;24,40
43;20151222;0.0.0.1-2-1.1;Desarrollo de Procesos;Primer Trimestre 2016;92,50
44;20151221;0.0.0.1-3-1.1;Concientizacion Laboral;Primer Trimestre 2016;100,00
45;20151220;0.0.0.1-2-1.1;Fiscalizacion CABA;Primer Trimestre 2016;101,75
46;20151222;0.0.0.1;Formacion Continua;Primer Trimestre 2016;111,00
47;20151221;0.0.0.1-2;Desarrollo de Aplicativos;Primer Trimestre 2016;138,75
48;20151220;0.0.0.1-2-1.1;Fiscalizacion CABA;Primer Trimestre 2016;150,00
49;20151222;0.0.0.1-2-1.1;Fiscalizacion CABA;Primer Trimestre 2016;150,00
50;20151221;0.0.0.1-2-1.1;Desarrollo de Procesos;Primer Trimestre 2016;157,50
51;20151221;0.0.0.1-2-1.1;Fiscalizacion CABA;Primer Trimestre 2016;173,25
