ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
63;20160625;0.0.0.1;Entrenamiento de Trabajadores;Tercer Trimestre 2016;11
64;20160626;0.0.0.1-1;Desarrollo de Procesos;Tercer Trimestre 2016;63,26
65;20160627;0.0.0.1;Credito Fiscal;Tercer Trimestre 2016;66
66;20160628;0.0.0.1-3-2.1;Credito Fiscal;Tercer Trimestre 2016;100
67;20160629;0.0.0.1;Concientizacion Laboral;Tercer Trimestre 2016;111
68;20160630;0.0.0.1-2-1.1;Fiscalizacion CABA;Tercer Trimestre 2016;150
69;20160701;0.0.0.1-2-1.1;Fiscalizacion CABA;Tercer Trimestre 2016;150
70;20160702;0.0.0.1-2-1.1;Fiscalizacion CABA;Tercer Trimestre 2016;150
71;20160703;0.0.0.1-2-1.1;Fiscalizacion CABA;Tercer Trimestre 2016;150
72;20160704;0.0.0.1-2-1.1;Fiscalizacion CABA;Tercer Trimestre 2016;150
