ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
206;20160221;0.0.0.1-2-1.4;Fiscalizacion San Juan;Primer Trimestre 2016;15,25
207;20160224;0.0.0.1-2-1;Capacitacion Continua;Primer Trimestre 2016;102,68
208;20160222;0.0.0.1;Entrenamiento de Trabajadores;Primer Trimestre 2016;111
209;20160223;0.0.0.1-2-1;Capacitacion Continua;Primer Trimestre 2016;174,83
210;20160520;0.0.0.1-2-1.4;Fiscalizacion San Juan;Segundo Trimestre 2016;55
211;20160824;0.0.0.1-2-1.4;Fiscalizacion San Juan;Tercer Trimestre 2016;32,5
212;20160825;0.0.0.1-3;Desarrollo de Procesos;Tercer Trimestre 2016;60
213;20160828;0.0.0.1;Entrenamiento de Trabajadores;Tercer Trimestre 2016;82,14
214;20160826;0.0.0.1-3-1.1;Formacion Continua;Tercer Trimestre 2016;100
215;20160827;0.0.0.1;Entrenamiento de Trabajadores;Tercer Trimestre 2016;139,86
