ID_EJE;FECHA_EJE;COD_CEN_EJE;NOM_ACT_EJE;NOM_TRI_EJE;GASTO_EJE
11;20160310;0.0.0.1;Desarrollo de Procesos;Segundo Trimestre 2016;66
12;20160310;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Segundo Trimestre 2016;96,2
13;20160310;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Segundo Trimestre 2016;96,2
14;20160310;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Segundo Trimestre 2016;96,2
15;20160310;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Segundo Trimestre 2016;96,2
16;20160310;0.0.0.1-2-1.1;Fiscalizacion Buenos Aires;Segundo Trimestre 2016;96,2
17;20160310;0.0.0.1-3-2.1;Laboratorios de Emprendimiento;Segundo Trimestre 2016;100
18;20160310;0.0.0.1-2-1;Capacitacion Continua;Segundo Trimestre 2016;138,75
19;20160310;0.0.0.1;Formacion Continua;Segundo Trimestre 2016;138,75
20;20160310;0.0.0.1-1-1.1;Capacitacion Continua;Segundo Trimestre 2016;141
